,OrigSurface,AssadiSurface,SingleLoop,QuadratureCoil,Birdcage2nd,BirdcageEnh
0,0.10694194,0.04607601,0.0832324,0.037816186,0.057723776,0.06652212
1,0.10842007,0.034327786,0.060999084,0.038049072,0.063947976,0.12580861
2,0.06589449,0.039576974,0.025550392,0.015070307,0.12482843,0.24100916
3,0.23355494,0.11487034,0.026060326,0.058845527,0.08141163,0.07995217
4,0.08262803,0.09884155,0.06812049,0.05965923,0.06415407,0.07889829
5,0.14254944,0.06474817,0.03642786,0.0161956,0.08142148,0.17564802
6,0.10719288,0.03849864,0.08462459,0.016326405,0.14630106,0.15884443
7,0.028225431,0.056361992,0.027284924,0.02589921,0.18121964,0.08710985
8,0.09230111,0.113211736,0.039541736,0.030426614,0.19650401,0.12307409
9,0.12251404,0.14116943,0.06089565,0.030558702,0.18077064,0.06143193
10,0.15642288,0.22593158,0.048077814,0.022237623,0.12538555,0.10244171
11,0.1481583,0.09572458,0.02168112,0.036226533,0.07284739,0.14793369
12,0.065033756,0.03714895,0.059198365,0.010686396,0.14347436,0.18284915
13,0.059064392,0.048824657,0.05100551,0.011473466,0.16396618,0.12352056
14,0.06916269,0.14654171,0.06717394,0.007024739,0.25914502,0.11156993
15,0.07288922,0.17397517,0.07427036,0.037632536,0.069277614,0.018089611
16,0.10352793,0.2587524,0.043583307,0.048212163,0.13570465,0.19116929
17,0.12933345,0.07262954,0.073427334,0.023257915,0.13061352,0.0633021
18,0.042612452,0.13209184,0.08268038,0.027553422,0.04053705,0.086143
19,0.095770456,0.03634637,0.010985137,0.020867137,0.030170828,0.28860804
20,0.06277257,0.11157976,0.03128787,0.014157421,0.037643034,0.11000846
21,0.12112727,0.118444316,0.05300983,0.03460315,0.12036846,0.14675948
22,0.12711853,0.14877555,0.03259683,0.06904301,0.17830144,0.06651378
23,0.16705063,0.2505661,0.055462435,0.123089835,0.17359613,0.25401807
24,0.40156698,0.3063998,0.024378348,0.24713743,0.338615,0.33032688
