,OrigSurface,AssadiSurface,SingleLoop,QuadratureCoil,Birdcage2nd,BirdcageEnh,QuadratureCoil_b1corr,BirdcageEnh_b1corr
0,0.038603988,0.0039041708,0.008706838,0.010676293,0.020336362,0.07859939,0.00069577404,0.034967374
1,0.02877443,0.009438089,0.0063492097,0.006111391,0.029029014,0.056565534,0.0023812603,0.06637323
2,0.021712832,0.010892326,0.01839394,0.0027504615,0.044138957,0.014397191,0.0022715305,0.020808246
3,0.015617159,0.012105147,0.0155444555,0.0017222757,0.058181338,0.067162946,0.002172966,0.043725077
4,0.012171663,0.032258157,0.005684673,0.007981125,0.05533138,0.07846076,0.0076369173,0.020141011
5,0.013845957,0.03973658,0.0025627331,0.014985186,0.05410985,0.046595253,0.006770722,0.013871848
6,0.01854276,0.026838778,0.0072300327,0.015885051,0.04837713,0.036400534,0.0045550135,0.0074439268
7,0.026235819,0.013168242,0.009433077,0.012429568,0.02220922,0.041367013,0.0040677097,0.0597877
8,0.029396161,0.016153414,0.008955505,0.015296532,0.04375362,0.031846095,0.005881515,0.01859221
9,0.019750522,0.025761098,0.012614833,0.018421715,0.057371777,0.041622847,0.008098127,0.013076659
10,0.021603595,0.02205123,0.012372775,0.018911377,0.050604258,0.03979517,0.009393487,0.0110503035
11,0.028989708,0.006895569,0.012858584,0.018955072,0.05333744,0.0068845656,0.00945502,0.0038649123
12,0.019422594,0.0065390645,0.008178299,0.017614022,0.052365497,0.035294645,0.0017668067,0.02064596
13,0.009949946,0.020986095,0.0072882925,0.013345097,0.028917415,0.051506788,0.007284839,0.019486312
14,0.015010063,0.028164368,0.010149718,0.0069662062,0.032703977,0.048158027,0.02122484,0.012717919
15,0.022803348,0.0146713285,0.0038611174,0.0024940434,0.06069705,0.054771278,0.0044056647,0.013143201
16,0.01196423,0.04201039,0.021716597,0.005051565,0.0513159,0.05715764,0.004285588,0.033822086
17,0.021293808,0.055376172,0.033145543,0.012408461,0.028090581,0.04901588,0.007558295,0.031208292
18,0.02930085,0.02874972,0.026486032,0.019326573,0.0816274,0.03493709,0.024572343,0.012692211
19,0.008450823,0.01638651,0.010421593,0.019190688,0.10555691,0.021974366,0.041575152,0.012259176
20,0.01694011,0.03675544,0.013131964,0.011627133,0.07850838,0.019975564,0.02125916,0.0074552214
21,0.026565313,0.025339333,0.014640392,0.0053877723,0.06913262,0.031320043,0.01641562,0.009428709
22,0.032080714,0.01611483,0.012210048,0.00823265,0.08481748,0.057417337,0.0021625275,0.028507946
23,0.02876277,0.02961655,0.017496172,0.014298992,0.065896235,0.06594443,0.011433554,0.056722403
24,0.014560649,0.027861722,0.028224586,0.013925711,0.048118416,0.09260522,0.026165776,0.025908578
25,0.01228331,0.017437581,0.03141156,0.0067528966,0.06559958,0.105640754,0.0049601565,0.026417919
26,0.008271374,0.014909408,0.019777026,0.0045952587,0.08280299,0.078187786,0.0031627135,0.010887531
27,0.012477065,0.021540957,0.0042303945,0.0020749655,0.08927897,0.04400351,0.00095677405,0.005450691
28,0.03450532,0.031592675,0.0048833746,0.006359962,0.08009468,0.036405943,0.0022755668,0.015244692
29,0.03424081,0.041761696,0.008835485,0.009591129,0.058873616,0.081570074,0.0031992162,0.117893144
30,0.012337145,0.04580927,0.014298406,0.007939119,0.03037125,0.105278745,0.0024416384,0.15215926
31,0.022517731,0.04119792,0.020874405,0.0051851943,0.02601349,0.15212525,0.001918231,0.21986647
32,0.039737992,0.03059362,0.02272016,0.00030584598,0.053189237,0.24069339,0.00010006192,0.3478739
33,0.048197277,0.016442265,0.01633674,0.009464039,0.08844733,0.31505474,0.0044428916,0.30735895
34,0.035587393,0.0016998142,0.011005322,0.016626243,0.16799273,0.3528476,0.007503398,0.26697809
35,0.017295096,0.009097754,0.011197052,0.016131008,0.2890445,0.37345332,0.0061436566,0.22662209
36,0.015424169,0.010174138,0.013640711,0.011544843,0.4086426,0.41825593,0.026176179,0.20989195
37,0.03237949,0.004155648,0.014966741,0.009066894,0.48983127,0.48208994,0.007559894,0.20732653
