,OrigSurface,AssadiSurface,SingleLoop,QuadratureCoil,Birdcage2nd,BirdcageEnh
0,0.05293994,0.040482033,0.05655605,0.016189257,0.034342673,0.07558368
1,0.09841063,0.06758514,0.06224551,0.00843319,0.10427726,0.09522605
2,0.07592545,0.04593451,0.021581577,0.013413852,0.07685619,0.037580688
3,0.0853446,0.045307953,0.03138519,0.008314639,0.08955895,0.15015814
4,0.030768821,0.033627592,0.05150424,0.01916378,0.065700635,0.17002983
5,0.17548019,0.080158435,0.042319465,0.012035591,0.16585432,0.06761827
6,0.14486814,0.10115569,0.03620342,0.004000391,0.20218953,0.096229784
7,0.14738089,0.025105534,0.03496723,0.017233344,0.06602081,0.10326298
8,0.10945697,0.019155199,0.010953876,0.032118678,0.18169042,0.19018784
9,0.09584339,0.065598905,0.039535806,0.029885078,0.14902793,0.04247303
10,0.026866844,0.011729185,0.064022444,0.020013852,0.12302076,0.22067493
11,0.029129416,0.057664122,0.042119816,0.007091181,0.16176216,0.09496769
12,0.07999688,0.048208393,0.030627072,0.010418261,0.09740376,0.19263338
13,0.041496683,0.06327691,0.04158308,0.0024847344,0.15545593,0.27477795
14,0.08053039,0.018683707,0.010965257,0.019960832,0.19081774,0.14081801
15,0.01945379,0.052625544,0.0039527714,0.016172545,0.2010545,0.16231611
16,0.032725945,0.061549325,0.070096605,0.013819821,0.17770976,0.13933617
17,0.1402952,0.046210445,0.004059512,0.005296716,0.115579635,0.14778894
18,0.13323388,0.044903688,0.029749138,0.013124086,0.047053106,0.05950905
19,0.06526763,0.0872565,0.06704122,0.019137068,0.016917715,0.10781507
20,0.04173818,0.03882527,0.025944235,0.0040136892,0.09022219,0.14336525
21,0.0203411,0.05831369,0.022522537,0.014724508,0.06324855,0.21776806
22,0.040579498,0.06271267,0.023486346,0.020829305,0.0738755,0.1677484
23,0.040911082,0.034122378,0.036749512,0.027723353,0.22843845,0.33054167
24,0.10461604,0.09531513,0.0050983266,0.026834907,0.605805,0.4393549
25,0.031292945,0.1060391,0.048285432,0.008623979,0.6729909,0.4787703
26,0.106302656,0.12936628,0.00568352,0.012268624,0.57427067,0.34072855
27,0.12537076,0.07715793,0.027461858,0.007543174,0.690623,0.31279868
28,0.069869086,0.07356754,0.003838752,0.028121388,0.63370943,0.3609839
29,0.061226245,0.09533323,0.011945287,0.037643008,0.4938972,0.35593557
30,0.02018224,0.029082362,0.03649149,0.015475318,0.46800697,0.3248473
31,0.041649893,0.08348604,0.03844098,0.04088152,0.6248178,0.26431277
32,0.057798125,0.04494327,0.070077136,0.016391108,0.6399986,0.3104043
