,OrigSurface,AssadiSurface,SingleLoop,QuadratureCoil,Birdcage2nd,BirdcageEnh
0,0.027339395,0.11066947,0.0064229863,0.0063652345,0.15931292,0.25807828
1,0.0067411223,0.059159767,0.02639045,0.010609637,0.14783843,0.055081747
2,0.15982533,0.00956495,0.0664252,0.02131679,0.09074527,0.08641818
3,0.16902566,0.041829363,0.06761242,0.0018585209,0.1281111,0.16698919
4,0.021994993,0.20175004,0.055271164,0.022391405,0.0764692,0.23971358
5,0.07697958,0.13824376,0.03960554,0.062447775,0.20718865,0.14296001
6,0.13825727,0.05481836,0.014644623,0.06118007,0.21914773,0.09476713
7,0.21615185,0.087178454,0.05025417,0.017876087,0.06428724,0.16056955
8,0.13403882,0.10172577,0.033490803,0.012438752,0.13581198,0.25785324
9,0.17018738,0.039985754,0.055728577,0.049355667,0.15487427,0.09930404
10,0.11831157,0.017288882,0.028787628,0.014054358,0.193497,0.078274004
11,0.10985337,0.09055813,0.04524456,0.026360182,0.37425157,0.15050958
12,0.060002018,0.062577404,0.039690394,0.033564102,0.23644991,0.21325463
13,0.12923256,0.11394276,0.009419889,0.023026029,0.06117571,0.12920539
14,0.09763369,0.17852572,0.054074757,0.030441176,0.18152627,0.09064597
15,0.06645524,0.11794959,0.019219775,0.010999579,0.18264946,0.06569966
16,0.019951537,0.06588842,0.047606744,0.015913978,0.036573756,0.070208125
17,0.14042558,0.10078422,0.045238048,0.018374784,0.13334744,0.19790839
18,0.17913942,0.12149401,0.03833637,0.029933037,0.15220237,0.15881334
19,0.05821799,0.099290766,0.0077768997,0.014858308,0.07929097,0.5021899
20,0.06407659,0.0055721956,0.029615197,0.0080185635,0.28061372,0.2062965
21,0.15743887,0.070398025,0.06266491,0.013537457,0.35125315,0.2389605
22,0.100300476,0.02951526,0.11710282,0.0127089545,0.6057787,0.49047318
23,0.028424218,0.14623715,0.04193912,0.02733341,0.8009179,0.31601033
24,0.027091635,0.0909536,0.013426065,0.014495676,0.6666636,0.46337315
25,0.16618231,0.10416287,0.057461597,0.031445518,0.4996387,0.6019144
26,0.16780603,0.101656884,0.119381756,0.036312137,0.48690552,0.3369058
27,0.011958496,0.04286353,0.038978465,0.031523332,0.5965232,0.22777782
28,0.086859606,0.058259442,0.02814235,0.017128972,0.595282,0.15323089
29,0.19212288,0.053081103,0.07369264,0.037184257,0.4588491,0.27789703
30,0.086629204,0.11546503,0.054889906,0.025510047,0.48802432,0.4642209
31,0.0700336,0.089188546,0.047471795,0.005586023,0.5021588,0.32511175
32,0.06489749,0.15333067,0.018704271,0.01774306,0.49747926,0.27453524
33,0.09592128,0.12870984,0.047287222,0.02514762,0.6626452,0.38335142
34,0.07952515,0.058274545,0.04573778,0.020668812,0.7256164,0.2753998
35,0.17551462,0.0758141,0.0060746404,0.01715681,0.592941,0.21565358
36,0.2128246,0.01094114,0.030992296,0.040734854,0.50866246,0.31663147
37,0.10236664,0.07195849,0.037573982,0.031434026,0.5184765,0.26855236
38,0.12808728,0.15603684,0.052390665,0.030609364,0.70711696,0.3056413
39,0.029576957,0.17729725,0.07383299,0.027796026,0.5670907,0.42618877
40,0.12765495,0.17102495,0.058175437,0.010461899,0.37145936,0.45855612
41,0.14277561,0.111132674,0.095333755,0.056250732,0.6187265,0.50794196
42,0.18722127,0.06410177,0.07168364,0.051136646,0.7478936,0.52710843
43,0.119001694,0.04988838,0.09693067,0.05532124,0.6062801,0.29943195
44,0.15935141,0.17291735,0.16254897,0.081384934,0.41435602,0.2794553
45,0.1492204,0.22330666,0.1393424,0.1267746,0.4735511,0.45256793
46,0.08691956,0.20811386,0.17867571,0.13568504,0.58262765,0.4104002
47,0.13646422,0.20090257,0.22986294,0.15835986,0.5572306,0.4116691
48,0.22426489,0.3330469,0.26418957,0.21905257,0.66790116,0.3736707
49,0.25964352,0.3840294,0.2901351,0.2237432,0.61371726,0.4517158
50,0.28433365,0.2581264,0.2978415,0.245494,0.576137,0.6107319
51,0.2734295,0.37571275,0.3741467,0.30763766,0.60473555,0.6129292
52,0.3423375,0.42273363,0.4463651,0.3467798,0.4897045,0.6948353
53,0.4839225,0.3772847,0.43684655,0.36992082,0.71419966,0.6572966
54,0.5480612,0.4247198,0.46319354,0.41871047,0.57234776,0.77628666
55,0.48633465,0.53867257,0.5666231,0.48755214,0.33485207,0.73661023
56,0.5495352,0.63363063,0.6879979,0.5622305,0.6272212,0.53236413
57,0.6565665,0.77617675,0.72379243,0.62117726,0.62950486,0.5978256
58,0.7273687,0.86221296,0.7772104,0.66827214,0.5201241,0.6302574
59,0.932139,0.79424655,0.8728016,0.8045211,0.63074046,0.7873179
60,0.9375122,0.84804296,0.8887954,0.9269846,0.6550024,0.70878863
61,0.63234115,0.6174244,0.8356024,0.9554571,0.6167394,0.2047973
62,0.2860489,0.33148247,0.5445272,0.7413788,0.60757595,0.06558646
63,0.17121953,0.21304315,0.21524206,0.26760614,0.6091395,0.1150397
64,0.20839943,0.027446924,0.020417403,0.0461011,0.2672586,0.079339206
65,0.12604238,0.028322246,0.10901644,0.041616347,0.17306302,0.043799978
66,0.046763655,0.06359262,0.033732202,0.04254104,0.045412492,0.13629843
